"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Sexe","Nombre"
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","4 dones o més",572
2019,2,"Eixample",10,"Sant Antoni","4 dones o més",425
2019,3,"Sants-Montjuïc",11,"el Poble Sec","4 dones o més",563
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","4 dones o més",14
2019,3,"Sants-Montjuïc",13,"la Marina de Port","4 dones o més",353
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","4 dones o més",80
2019,3,"Sants-Montjuïc",15,"Hostafrancs","4 dones o més",161
2019,3,"Sants-Montjuïc",16,"la Bordeta","4 dones o més",158
2019,3,"Sants-Montjuïc",17,"Sants - Badal","4 dones o més",262
2019,3,"Sants-Montjuïc",18,"Sants","4 dones o més",362
2019,4,"Les Corts",19,"les Corts","4 dones o més",363
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","4 dones o més",208
2019,4,"Les Corts",21,"Pedralbes","4 dones o més",167
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","4 dones o més",61
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","4 dones o més",356
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","4 dones o més",264
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","4 dones o més",346
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","4 dones o més",590
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","4 dones o més",295
2019,6,"Gràcia",28,"Vallcarca i els Penitents","4 dones o més",140
2019,6,"Gràcia",29,"el Coll","4 dones o més",55
2019,6,"Gràcia",30,"la Salut","4 dones o més",101
2019,6,"Gràcia",31,"la Vila de Gràcia","4 dones o més",407
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","4 dones o més",257
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","4 dones o més",181
2019,7,"Horta-Guinardó",34,"Can Baró","4 dones o més",84
2019,7,"Horta-Guinardó",35,"el Guinardó","4 dones o més",319
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","4 dones o més",68
2019,7,"Horta-Guinardó",37,"el Carmel","4 dones o més",292
2019,7,"Horta-Guinardó",38,"la Teixonera","4 dones o més",86
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","4 dones o més",79
2019,7,"Horta-Guinardó",40,"Montbau","4 dones o més",41
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","4 dones o més",23
2019,7,"Horta-Guinardó",42,"la Clota","4 dones o més",5
2019,7,"Horta-Guinardó",43,"Horta","4 dones o més",231
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","4 dones o més",271
2019,8,"Nou Barris",45,"Porta","4 dones o més",270
2019,8,"Nou Barris",46,"el Turó de la Peira","4 dones o més",231
2019,8,"Nou Barris",47,"Can Peguera","4 dones o més",23
2019,8,"Nou Barris",48,"la Guineueta","4 dones o més",138
2019,8,"Nou Barris",49,"Canyelles","4 dones o més",40
2019,8,"Nou Barris",50,"les Roquetes","4 dones o més",250
2019,8,"Nou Barris",51,"Verdun","4 dones o més",162
2019,8,"Nou Barris",52,"la Prosperitat","4 dones o més",288
